URL,Category,Page_Slug,Priority,Current_Title,Suggested_Title,Title_Template,Schema_Type,Has_FAQ_Schema,Needs_Optimization
https://www.smartkitnow.com/pets,Pets,index,MEDIUM,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Animal] [Tool] Calculator | Vet-Approved Guide,WebApplication,NO,YES
https://www.smartkitnow.com/health,Health,index,HIGH,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Tool] Calculator | Accurate Health Metric Tool,WebApplication,NO,YES
https://www.smartkitnow.com/financial,Financial,index,HIGH,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/cooking,Cooking,index,MEDIUM,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Tool] Calculator | Recipe Converter Tool,WebApplication,NO,YES
https://www.smartkitnow.com/math,Math,index,MEDIUM,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Tool] Calculator | Free Math Solver 2026,WebApplication,NO,YES
https://www.smartkitnow.com/conversion,Conversion,index,HIGH,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Unit] Converter | Free Online Calculator,WebApplication,NO,YES
https://www.smartkitnow.com/science,Science,index,MEDIUM,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Tool] Calculator | Free Science Tool,WebApplication,NO,YES
https://www.smartkitnow.com/time,Time,index,MEDIUM,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Tool] Calculator | Free Time Tool 2026,WebApplication,NO,YES
https://www.smartkitnow.com/video,Video,index,HIGH,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Tool] Calculator | Free Video Production Tool,WebApplication,NO,YES
https://www.smartkitnow.com/smart-tips,Smart-Tips,index,MEDIUM,Index - Smart Kit Now,Index Calculator | Free Online Tool 2026,[Tool] Calculator | SmartKitNow,WebApplication,NO,YES
https://www.smartkitnow.com/everyday/qr-code-generator,Everyday,qr-code-generator,MEDIUM,Qr Code Generator - Smart Kit Now,Qr Code Generator Calculator | Free Online Tool 2026,[Tool] Calculator | Daily Life Helper,WebApplication,NO,YES
https://www.smartkitnow.com/everyday/word-counter,Everyday,word-counter,MEDIUM,Word Counter - Smart Kit Now,Word Counter Calculator | Free Online Tool 2026,[Tool] Calculator | Daily Life Helper,WebApplication,NO,YES
https://www.smartkitnow.com/time/world-clock,Time,world-clock,MEDIUM,World Clock - Smart Kit Now,World Clock Calculator | Free Online Tool 2026,[Tool] Calculator | Free Time Tool 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/loan-payment,Financial,loan-payment,HIGH,Loan Payment - Smart Kit Now,Loan Payment Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/tip-split-bill,Financial,tip-split-bill,HIGH,Tip Split Bill - Smart Kit Now,Tip Split Bill Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/mortgage-amortization,Financial,mortgage-amortization,HIGH,Mortgage Amortization - Smart Kit Now,Mortgage Amortization Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/extra-payments-payoff,Financial,extra-payments-payoff,HIGH,Extra Payments Payoff - Smart Kit Now,Extra Payments Payoff Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/interest-only-loan,Financial,interest-only-loan,HIGH,Interest Only Loan - Smart Kit Now,Interest Only Loan Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/refinance-savings,Financial,refinance-savings,HIGH,Refinance Savings - Smart Kit Now,Refinance Savings Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/heloc-payment-estimator,Financial,heloc-payment-estimator,HIGH,Heloc Payment Estimator - Smart Kit Now,Heloc Payment Estimator Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/car-loan-affordability,Financial,car-loan-affordability,HIGH,Car Loan Affordability - Smart Kit Now,Car Loan Affordability Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
https://www.smartkitnow.com/financial/balloon-payment,Financial,balloon-payment,HIGH,Balloon Payment - Smart Kit Now,Balloon Payment Calculator | Free Online Tool 2026,[Tool] Calculator | Free [Finance] Estimator 2026,WebApplication,NO,YES
